Run Beam Mode DLY | iEta iPhi Imon VDrift Gain f_Ar f_CO f_CF4 | IPreAmpI IPreAmpF IPreAmpO IShaper IShaperFeed IComp MSPL Lat Thresh | Sigma_Histo Sigma_Gaus Sigma_Cont Sigma_Num | Pk1_Pos Pk1_Int Pk2_Pos Pk2_Int Pk3_Pos Pk3_Int
20 13 0 -1.00 |  5 2 610.00 2867.61 2935.98 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  17.93 17.84 16.28 16.41 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
21 13 0 -1.00 |  5 2 600.00 2820.60 2019.94 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  19.05 19.06 17.60 17.63 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
22 13 1 -1.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 -1 -1 -1.00 |  179.16 -1.00 -1.00 -1.00 |  477.50 1.00 431.50 1.00 408.50 1.00
23 13 1 -1.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  195.60 -1.00 -1.00 -1.00 |  500.50 2.00 476.50 2.00 454.50 1.00
23 13 1 20.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  8.29 -1.00 -1.00 -1.00 |  310.50 8089.00 287.50 1002.00 334.50 59.00
24 13 1 21.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  8.56 -1.00 -1.00 -1.00 |  311.50 8012.00 288.50 1148.00 264.50 49.00
25 13 1 22.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  9.38 -1.00 -1.00 -1.00 |  312.50 7674.00 289.50 1444.00 265.50 69.00
26 13 1 23.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  10.10 -1.00 -1.00 -1.00 |  313.50 7256.00 289.50 1850.00 266.50 59.00
27 13 1 24.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  10.57 -1.00 -1.00 -1.00 |  314.50 7092.00 290.50 2075.00 267.50 66.00
28 13 1 25.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  11.51 -1.00 -1.00 -1.00 |  315.50 6573.00 291.50 2547.00 268.50 62.00
29 13 1 26.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  11.64 -1.00 -1.00 -1.00 |  316.50 6109.00 292.50 3036.00 269.50 58.00
30 13 1 27.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.34 -1.00 -1.00 -1.00 |  317.50 5740.00 293.50 3421.00 270.50 74.00
31 13 1 28.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.63 -1.00 -1.00 -1.00 |  318.50 5255.00 294.50 3866.00 271.50 93.00
32 13 1 29.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.49 -1.00 -1.00 -1.00 |  319.50 4639.00 295.50 4498.00 272.50 84.00
33 13 1 30.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.46 -1.00 -1.00 -1.00 |  296.50 5027.00 320.50 4095.00 272.50 91.00
34 13 1 31.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.24 -1.00 -1.00 -1.00 |  297.50 5494.00 320.50 3616.00 273.50 91.00
35 13 1 32.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.02 -1.00 -1.00 -1.00 |  298.50 6054.00 322.50 3036.00 275.50 115.00
36 13 1 33.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  11.35 -1.00 -1.00 -1.00 |  299.50 6708.00 322.50 2383.00 276.50 156.00
37 13 1 34.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  10.52 -1.00 -1.00 -1.00 |  300.50 7172.00 323.50 1928.00 276.50 158.00
38 13 1 35.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  9.96 -1.00 -1.00 -1.00 |  301.50 7463.00 324.50 1531.00 277.50 186.00
39 13 1 36.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  9.40 -1.00 -1.00 -1.00 |  302.50 7754.00 325.50 1203.00 278.50 225.00
40 13 1 37.00 |  5 2 -1.00 -1.00 0.00 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  8.34 -1.00 -1.00 -1.00 |  303.50 8057.00 326.50 906.00 279.50 239.00
40 13 1 37.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  8.34 -1.00 -1.00 -1.00 |  303.50 8057.00 326.50 906.00 279.50 239.00
41 13 1 38.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  8.40 -1.00 -1.00 -1.00 |  304.50 8209.00 327.50 680.00 280.50 314.00
42 13 1 39.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  7.12 -1.00 -1.00 -1.00 |  305.50 8311.00 328.50 547.00 281.50 299.00
43 13 1 40.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  6.74 -1.00 -1.00 -1.00 |  306.50 8429.00 282.50 378.00 329.50 373.00
44 13 1 -1.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  6.68 -1.00 -1.00 -1.00 |  306.50 8480.00 283.50 501.00 330.50 247.00
44 13 1 41.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  6.68 -1.00 -1.00 -1.00 |  306.50 8480.00 283.50 501.00 330.50 247.00
45 13 1 42.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  7.26 -1.00 -1.00 -1.00 |  308.50 8401.00 284.50 765.00 331.50 131.00
46 13 1 43.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  7.79 -1.00 -1.00 -1.00 |  309.50 8321.00 285.50 747.00 332.50 118.00
47 13 1 44.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  7.81 -1.00 -1.00 -1.00 |  309.50 8283.00 286.50 804.00 333.50 86.00
48 13 1 45.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  8.47 -1.00 -1.00 -1.00 |  310.50 8086.00 287.50 1061.00 334.50 69.00
49 13 1 46.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  8.83 -1.00 -1.00 -1.00 |  311.50 7876.00 288.50 1238.00 264.50 55.00
50 13 1 47.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  9.12 -1.00 -1.00 -1.00 |  312.50 7685.00 289.50 1473.00 336.50 36.00
51 13 1 48.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  10.01 -1.00 -1.00 -1.00 |  313.50 7368.00 289.50 1766.00 266.50 58.00
52 13 1 49.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  10.60 -1.00 -1.00 -1.00 |  314.50 7047.00 290.50 2083.00 267.50 72.00
53 13 1 50.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  11.00 -1.00 -1.00 -1.00 |  315.50 6584.00 292.50 2601.00 268.50 46.00
54 13 1 40.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  6.81 -1.00 -1.00 -1.00 |  305.50 8426.00 282.50 420.00 329.50 347.00
55 13 1 40.00 |  5 2 700.00 3290.70 85015.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  7.23 -1.00 -1.00 -1.00 |  305.50 8291.00 282.50 646.00 329.50 238.00
56 13 1 40.00 |  5 2 690.00 3243.69 58490.23 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  7.38 -1.00 -1.00 -1.00 |  305.50 8247.00 282.50 718.00 329.50 215.00
57 13 1 40.00 |  5 2 680.00 3196.68 40240.82 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  10.33 -1.00 -1.00 -1.00 |  305.50 7252.00 282.50 1743.00 329.50 111.00
58 13 1 40.00 |  5 2 670.00 3149.67 27685.38 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  12.14 -1.00 -1.00 -1.00 |  305.50 6200.00 282.50 2793.00 258.50 143.00
59 13 1 40.00 |  5 2 660.00 3102.66 19047.36 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  13.58 -1.00 -1.00 -1.00 |  305.50 5041.00 282.50 3676.00 258.50 306.00
60 13 1 40.00 |  5 2 650.00 3055.65 13104.44 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  14.63 -1.00 -1.00 -1.00 |  282.50 4523.00 305.50 3819.00 258.50 597.00
61 13 1 40.00 |  5 2 640.00 3008.64 9015.75 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.55 -1.00 -1.00 -1.00 |  282.50 4891.00 305.50 2634.00 258.50 1027.00
62 13 1 40.00 |  5 2 630.00 2961.63 6202.78 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  15.51 -1.00 -1.00 -1.00 |  282.50 4924.00 305.50 2608.00 258.50 1089.00
63 13 1 40.00 |  5 2 620.00 2914.62 4267.46 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  17.54 -1.00 -1.00 -1.00 |  282.50 3583.00 258.50 1859.00 305.50 1197.00
64 13 1 40.00 |  5 2 610.00 2867.61 2935.98 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  17.99 -1.00 -1.00 -1.00 |  282.50 2600.00 258.50 1694.00 305.50 657.00
65 13 1 40.00 |  5 2 600.00 2820.60 2019.94 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  18.69 -1.00 -1.00 -1.00 |  282.50 1728.00 258.50 1300.00 305.50 389.00
66 13 1 40.00 |  5 2 590.00 2773.59 1389.70 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  19.32 -1.00 -1.00 -1.00 |  282.50 964.00 258.50 901.00 305.50 246.00
67 13 1 40.00 |  5 2 580.00 2726.58 956.10 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  20.50 -1.00 -1.00 -1.00 |  282.50 554.00 258.50 452.00 235.50 169.00
68 13 1 40.00 |  5 2 570.00 2679.57 657.79 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  20.66 -1.00 -1.00 -1.00 |  258.50 297.00 282.50 291.00 235.50 123.00
69 13 1 40.00 |  5 2 560.00 2632.56 452.56 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  20.40 -1.00 -1.00 -1.00 |  282.50 196.00 258.50 175.00 235.50 82.00
70 13 1 40.00 |  5 2 550.00 2585.55 311.36 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 -1.00 |  21.49 -1.00 -1.00 -1.00 |  282.50 136.00 258.50 112.00 235.50 56.00
71 13 0 -1.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  11.23 9.29 5.85 8.61 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
72 13 0 -1.00 |  5 2 700.00 3290.70 85015.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  11.52 9.47 6.02 8.99 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
73 13 0 -1.00 |  5 2 690.00 3243.69 58490.23 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  11.58 9.73 6.48 9.05 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
74 13 0 -1.00 |  5 2 680.00 3196.68 40240.82 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  11.58 10.07 6.98 9.05 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
75 13 0 -1.00 |  5 2 670.00 3149.67 27685.38 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  12.53 10.57 7.67 10.24 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
76 13 0 -1.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  11.44 9.24 5.79 8.88 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
77 13 0 -1.00 |  5 2 700.00 3290.70 85015.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  10.95 9.35 5.95 8.24 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
78 13 0 -1.00 |  5 2 690.00 3243.69 58490.23 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  11.30 9.74 6.54 8.70 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
79 13 0 -1.00 |  5 2 680.00 3196.68 40240.82 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  11.75 10.33 7.27 9.27 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
80 13 0 -1.00 |  5 2 670.00 3149.67 27685.38 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  12.14 10.99 8.25 9.77 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
81 13 0 -1.00 |  5 2 660.00 3102.66 19047.36 70.00 30.00 0.00 | -1 -1 -1 -1 -1 120 1 -1 -1.00 |  -1.00 -1.00 -1.00 -1.00 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
81 13 1 -1.00 |  5 2 550.00 2585.55 311.36 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  40.42 -1.00 -1.00 -1.00 |  282.50 67.00 258.50 52.00 234.50 46.00
83 13 1 -1.00 |  5 2 560.00 2632.56 452.56 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  22.30 -1.00 -1.00 -1.00 |  282.50 114.00 258.50 114.00 234.50 63.00
85 13 1 -1.00 |  5 2 570.00 2679.57 657.79 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  27.85 -1.00 -1.00 -1.00 |  258.50 183.00 282.50 180.00 234.50 92.00
87 13 1 -1.00 |  5 2 580.00 2726.58 956.10 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  22.00 -1.00 -1.00 -1.00 |  282.50 325.00 258.50 294.00 235.50 123.00
89 13 1 -1.00 |  5 2 590.00 2773.59 1389.70 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  19.44 -1.00 -1.00 -1.00 |  282.50 652.00 258.50 580.00 234.50 203.00
91 13 1 -1.00 |  5 2 600.00 2820.60 2019.94 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  18.25 -1.00 -1.00 -1.00 |  282.50 1241.00 258.50 972.00 234.50 240.00
93 13 1 -1.00 |  5 2 610.00 2867.61 2935.98 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  17.96 -1.00 -1.00 -1.00 |  282.50 1694.00 258.50 1200.00 305.50 305.00
95 13 1 -1.00 |  5 2 630.00 2961.63 6202.78 70.00 30.00 0.00 | -1 -1 -1 -1 -1 75 1 -1 -1.00 |  16.17 -1.00 -1.00 -1.00 |  282.50 3589.00 258.50 1271.00 305.50 1041.00
97 13 1 40.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 0.80 |  8.52 -1.00 -1.00 -1.00 |  305.50 4927.00 329.50 304.00 282.50 208.00
99 13 1 40.00 |  5 2 550.00 2585.55 311.36 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 0.80 |  134.69 -1.00 -1.00 -1.00 |  23.50 229.00 258.50 217.00 282.50 211.00
102 13 1 40.00 |  5 2 600.00 2820.60 2019.94 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  -1.00 -1.00 -1.00 -1.00 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
103 13 1 40.00 |  5 2 600.00 2820.60 2019.94 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  19.02 -1.00 -1.00 -1.00 |  282.50 1202.00 258.50 997.00 234.50 276.00
107 13 1 40.00 |  5 2 620.00 2914.62 4267.46 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  18.06 -1.00 -1.00 -1.00 |  282.50 2751.00 258.50 1753.00 305.50 695.00
109 13 1 40.00 |  5 2 640.00 3008.64 9015.75 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  16.33 -1.00 -1.00 -1.00 |  282.50 4152.00 305.50 1623.00 258.50 1257.00
111 13 1 40.00 |  5 2 660.00 3102.66 19047.36 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  13.82 -1.00 -1.00 -1.00 |  282.50 1576.00 305.50 1325.00 258.50 160.00
113 13 1 40.00 |  5 2 680.00 3196.68 40240.82 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  11.49 -1.00 -1.00 -1.00 |  305.50 2448.00 282.50 985.00 258.50 36.00
115 13 1 40.00 |  5 2 700.00 3290.70 85015.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  8.94 -1.00 -1.00 -1.00 |  305.50 2966.00 282.50 442.00 329.50 44.00
117 13 1 40.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  7.36 -1.00 -1.00 -1.00 |  305.50 3202.00 282.50 248.00 329.50 65.00
119 13 1 41.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  8.04 -1.00 -1.00 -1.00 |  306.50 3138.00 283.50 319.00 330.50 39.00
121 13 1 39.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  7.55 -1.00 -1.00 -1.00 |  304.50 3130.00 281.50 220.00 328.50 96.00
123 13 1 39.00 |  5 2 690.00 3243.69 58490.23 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  9.95 -1.00 -1.00 -1.00 |  304.50 2829.00 281.50 588.00 328.50 31.00
125 13 1 40.00 |  5 2 690.00 3243.69 58490.23 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  10.12 -1.00 -1.00 -1.00 |  305.50 2731.00 282.50 642.00 258.50 24.00
126 13 1 20.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  9.04 -1.00 -1.00 -1.00 |  310.50 2939.00 286.50 564.00 333.50 8.00
129 13 1 22.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  11.33 -1.00 -1.00 -1.00 |  312.50 2482.00 288.50 768.00 265.50 36.00
130 13 1 24.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  11.64 -1.00 -1.00 -1.00 |  314.50 2393.00 290.50 1040.00 267.50 23.00
133 13 1 26.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  12.62 -1.00 -1.00 -1.00 |  316.50 2007.00 292.50 1529.00 269.50 48.00
134 13 1 28.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  12.91 -1.00 -1.00 -1.00 |  294.50 1823.00 318.50 1447.00 270.50 51.00
137 13 1 30.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  12.10 -1.00 -1.00 -1.00 |  296.50 2240.00 320.50 1130.00 273.50 50.00
138 13 1 32.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  10.77 -1.00 -1.00 -1.00 |  298.50 2709.00 321.50 802.00 274.50 60.00
141 13 1 34.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  8.53 -1.00 -1.00 -1.00 |  300.50 3068.00 323.50 435.00 276.50 78.00
142 13 1 36.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  8.16 -1.00 -1.00 -1.00 |  301.50 3109.00 325.50 323.00 278.50 103.00
145 13 1 38.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  158.66 -1.00 -1.00 -1.00 |  468.50 3.00 21.50 3.00 500.50 2.00
147 13 1 38.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  -1.00 -1.00 -1.00 -1.00 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
148 13 1 38.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  -1.00 -1.00 -1.00 -1.00 |  -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
149 13 1 38.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  7.66 -1.00 -1.00 -1.00 |  303.50 3144.00 280.50 171.00 327.50 131.00
151 13 1 40.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  7.83 -1.00 -1.00 -1.00 |  305.50 3113.00 282.50 253.00 329.50 87.00
153 13 1 42.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  8.40 -1.00 -1.00 -1.00 |  307.50 3131.00 284.50 347.00 331.50 31.00
156 13 1 44.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  9.10 -1.00 -1.00 -1.00 |  309.50 2694.00 285.50 465.00 262.50 19.00
158 13 1 46.00 |  5 2 710.00 3337.71 123570.66 70.00 30.00 0.00 | -1 -1 -1 -1 -1 -1 1 -1 1.60 |  10.43 -1.00 -1.00 -1.00 |  311.50 2499.00 287.50 695.00 264.50 17.00
